macro_area,topic,subtopic,sources_aulas,sources_provas,coverage_status,v1_priority,skills
Fundamentos,Autômatos Finitos,AFD modelagem e execução,"aula_06", "2022,2023,2024,2025",planned,high,"modelar AFD, executar passo a passo, decidir aceitação"
Fundamentos,Autômatos Finitos,Minimização de AFD,"aula_08,aula_09", "2022,2024,2025",planned,high,"eliminar inalcançáveis, refinar partições, gerar mínimo"
Fundamentos,Autômatos Finitos,AFN com epsilon,"aula_10,aula_11", "2023,2024,2025",planned,high,"epsilon-fecho, execução não determinística"
Fundamentos,Autômatos Finitos,Conversão AFN→AFD,"aula_11", "2023,2024",planned,high,"construção por subconjuntos"
Fundamentos,Linguagens Formais,Alfabeto/linguagem/operações,"aula_04", "2022,2023,2024,2025",planned,medium,"operações sobre linguagens"
Fundamentos,Gramáticas,Derivação e análise sintática,"aula_05,aula_12", "2023,2024,2025",planned,medium,"derivação leftmost/rightmost"
Fundamentos,AP,Reconhecimento com pilha,"aula_13", "2023,2025",planned,medium,"simular AP e comparar com AFD"
Fundamentos,MT/Decidibilidade,Formalismo e limites,"aula_14,aula_15,aula_16", "2022,2023,2024,2025",planned,medium,"decidível vs indecidível"
Matemática,Álgebra Linear,Sistemas/autovalores,"n/a", "2022,2023,2024,2025",planned,low,"resolver sistemas e espectro"
Matemática,Cálculo,limites/derivadas/integrais,"n/a", "2022,2023,2024,2025",planned,low,"aplicar regras de cálculo"
Matemática,Discreta/Lógica,proposições/quantificadores,"n/a", "2022,2023,2024,2025",planned,low,"avaliar validade e equivalências"
Tecnologia,Algoritmos e ED,complexidade/estruturas,"n/a", "2022,2023,2024,2025",planned,low,"analisar custo e estrutura"
Tecnologia,Linguagens/Compiladores,tipos/sintaxe,"n/a", "2022,2023,2024,2025",planned,low,"interpretar semântica e análise sintática"
Tecnologia,Grafos/BD/SO/Redes,modelagem e protocolos,"n/a", "2022,2023,2024,2025",planned,low,"resolver questões de infraestrutura"
